,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
221,Brighton,47.53983640625002,-122.27768562500003,Rainier Health and Fitness,47.53645369627841,-122.27382618726848,Gym
222,Brighton,47.53983640625002,-122.27768562500003,Chase Bank,47.538683,-122.281383,Bank
223,Brighton,47.53983640625002,-122.27768562500003,Domino's Pizza,47.53671999392601,-122.28050038229406,Pizza Place
224,Brighton,47.53983640625002,-122.27768562500003,Ambrosia Tea & Espresso,47.5390018444739,-122.28244478248475,Café
225,Brighton,47.53983640625002,-122.27768562500003,Foo Lam,47.53848168684539,-122.2829479818834,Chinese Restaurant
226,Brighton,47.53983640625002,-122.27768562500003,Bang Bang Kitchen,47.536922,-122.279686,Tex-Mex Restaurant
227,Brighton,47.53983640625002,-122.27768562500003,Huarachitos Cocina Mexicana,47.53645457897819,-122.273828732183,Mexican Restaurant
228,Brighton,47.53983640625002,-122.27768562500003,Shell,47.53640478223895,-122.2737749543806,Gas Station
229,Brighton,47.53983640625002,-122.27768562500003,Safeway,47.5374346,-122.2830543,Grocery Store
230,Brighton,47.53983640625002,-122.27768562500003,Signature Cafe,47.536515442669966,-122.27388702858286,Breakfast Spot
231,Brighton,47.53983640625002,-122.27768562500003,Los Potrillos - Taco Truck,47.54103076457959,-122.27156394282879,Food Truck
232,Brighton,47.53983640625002,-122.27768562500003,Amazing Thai Lao Cuisine,47.541653,-122.283636,Thai Restaurant
233,Broadview,47.71736699999998,-122.35983133333333,Wicked Good Grinders,47.7196573246086,-122.35596591468729,Food Truck
234,Broadview,47.71736699999998,-122.35983133333333,Chada Thai,47.71966349876733,-122.35511390944248,Thai Restaurant
235,Broadview,47.71736699999998,-122.35983133333333,Broadview Tap House,47.719337,-122.35615200000001,Beer Bar
236,Broadview,47.71736699999998,-122.35983133333333,Domino's Pizza,47.71994161700571,-122.35508824994213,Pizza Place
237,Broadview,47.71736699999998,-122.35983133333333,Redbox,47.7196,-122.355579,Video Store
238,Broadview,47.71736699999998,-122.35983133333333,7-Eleven,47.7199406481385,-122.355228513479,Convenience Store
239,Broadview,47.71736699999998,-122.35983133333333,Ichi Roll Teriyaki,47.719686911675346,-122.35506623717754,Sushi Restaurant
240,Broadview,47.71736699999998,-122.35983133333333,Broadview Park,47.71792591878161,-122.35575556755064,Park
